Name,Num Quarters,CIK,
Jana Partners,2,1159159,
trigran investments,2,1336800,
Peconic Partners LLC,2,1050464,
Marlowe Partners,2,1624049,
Trian Partners,2,1473605,
SkyTop Capital Management,2,1512690,
Raging Capital Management,2,1444376,
AltaRock Partners,2,1631014,
Lionstone Capital Management,2,1575662,
Magnolia Capital Fund,2,1618333,
Billings Capital Management,2,1578258,
BlueDrive Global Investors,2,1730235,
Theleme Partners,2,1511881,
Waterfront Capital Partners,2,1595077,
FrontFour Capital Group,2,1430308,
Park Presidio Capital,2,1596510,
Scopia Capital,2,1279150,
BVF Inc,2,1056807,
Great Point Partners,2,1281446,
MSDC Management,2,1514334,
Nut Tree Capital,2,1661655,
Silver Point Capital,2,1332784,
Slate Path Capital,2,1559706,
Tenzing Global Investors,2,1538790,
12 West Capital Management,2,1540531,
12 West Capital Management,2,1540531,
683 Capital Partners,2,1380126,
683 Capital Partners,2,1701496,
683 Capital Partners,2,1380126,
683 Capital Partners,2,1380126,
Abdiel Capital Advisors,2,1578684,
Abdiel Capital Advisors,2,1578684,
Abdiel Capital Advisors,2,1578684,
ACK Asset Management,2,1510940,
AEW Capital Management,2,1046187,
Alpine Associates,2,1396835,
Altimeter Capital Management,2,1541617,
Antipodean Advisors LLC,2,1512566,
"Apertura Capital, LLC",2,1633570,
Aquilo Capital Management,2,1591986,
Aquilo Capital Management,2,1750122,
Aquilo Capital Management,2,1591986,x
Argentiere Capital,2,1585740,
Aubrey Capital Management Ltd,2,1730754,
Autonomy Capital,2,1484153,
Avoro Capital Advisors LLC,2,1633313,
"Beaconlight Capital, LLC",2,1569537,
Beryl Capital Management,2,1719307,
Biotechnology Value Fund / BVF Inc,2,1102444,
Biotechnology Value Fund / BVF Inc,2,918923,
Biotechnology Value Fund / BVF Inc,2,918923,.
Biotechnology Value Fund / BVF Inc,2,1056807,
Birchview Capital,2,1618206,
Birchview Capital,2,1618205,
Blackstart Capital,2,1666647,
Broadfin Capital,2,1511901,
"Calixto Global Investors, LP",2,1666472,
Cannell Capital,2,1058854,
Casdin Capital,2,1079151,
Casdin Capital,2,1534261,
Casdin Capital,2,1534261,
Cedar Rock Capital,2,1315765,
Central Asset Investments & Management Holdings (HK) Ltd,2,1583672,
Charles Lim Capital,2,1634255,
Cheyne Capital,2,1426669,
Cheyne Capital,2,1353097,
Cheyne Capital,2,1390457,
Circle Road Advisors,2,1681453,
Columbus Hill Capital Management,2,1384982,
Columbus Hill Capital Management LP,2,1384982,
"Columbus Hill Capital Management, L.P.",2,1384982,
Cormorant Asset Management,2,1583977,
Covalis Capital,2,1698819,
"Crawford Lake Capital Management, LLC",2,1623796,
Crestwood Capital Management,2,1468395,
"Crestwood Capital Management, L.P.",2,1468395,
DAFNA Capital Management,2,1389933,
DAFNA Capital Management,2,1389933,
Diker Management,2,1276525,
Ecofin Ltd,2,1387869,
EcoR1 Capital,2,1598292,
EcoR1 Capital,2,1567938,
EcoR1 Capital,2,1710180,
EcoR1 Capital,2,1587114,
EcoR1 Capital,2,1587114,
Electron Capital Partners,2,1586986,
EMS Capital LP,2,1441843,
Engaged Capital,2,1426669,
Engaged Capital,2,1390457,
Engaged Capital,2,1649722,
Engaged Capital,2,1666106,
Engaged Capital,2,1666151,
Engaged Capital,2,1680308,
Engaged Capital,2,1688224,
Engaged Capital,2,1700254,
Engaged Capital,2,1695189,
Engaged Capital,2,1695183,
Engaged Capital,2,1695111,
Engaged Capital,2,1733281,
Engaged Capital,2,1768883,
