Filer,Filing Date,Issuer,Class,Cusip,Value,Shares Amount,Shares Type,Discretion,Sole,Shared,None
JANA PARTNERS LLC  (0001159159),2020-02-14,AXALTA COATING SYS LTD,COM,G0750C108,48193,1585296,SH,SOLE,1585296,0,0
JANA PARTNERS LLC  (0001159159),2020-02-14,BLOOMIN BRANDS INC,COM,094235108,141343,6404324,SH,SOLE,6404324,0,0
JANA PARTNERS LLC  (0001159159),2020-02-14,CALLAWAY GOLF CO,COM,131193104,166546,7855944,SH,SOLE,7855944,0,0
JANA PARTNERS LLC  (0001159159),2020-02-14,CONAGRA BRANDS INC,COM,205887102,512289,14961717,SH,SOLE,14961717,0,0
JANA PARTNERS LLC  (0001159159),2020-02-14,HD SUPPLY HLDGS INC,COM,40416M105,80531,2002273,SH,SOLE,2002273,0,0
JANA PARTNERS LLC  (0001159159),2020-02-14,JACK IN THE BOX INC,COM,466367109,52505,672883,SH,SOLE,672883,0,0
JANA PARTNERS LLC  (0001159159),2020-02-14,SPDR S&P 500 ETF TR,TR UNIT,78462F103,117397,364747,SH,SOLE,364747,0,0
JANA PARTNERS LLC  (0001159159),2020-02-14,TIFFANY & CO NEW,COM,886547108,9837,73600,SH,SOLE,0,0,0
JANA PARTNERS LLC  (0001159159),2020-02-14,WRIGHT MED GROUP N V,ORD SHS,N96617118,19765,648445,SH,SOLE,648445,0,0
JANA PARTNERS LLC  (0001159159),2020-02-14,ZIMMER BIOMET HLDGS INC,COM,98956P102,52388,350000,SH,SOLE,350000,0,0
JANA PARTNERS LLC  (0001159159),2019-11-14,AXALTA COATING SYS LTD,COM,G0750C108,120600,4000000,SH,SOLE,4000000,0,0
JANA PARTNERS LLC  (0001159159),2019-11-14,BLOOMIN BRANDS INC,COM,094235108,148031,7819899,SH,SOLE,7819899,0,0
JANA PARTNERS LLC  (0001159159),2019-11-14,CALLAWAY GOLF CO,COM,131193104,168320,8671810,SH,SOLE,8671810,0,0
JANA PARTNERS LLC  (0001159159),2019-11-14,CONAGRA BRANDS INC,COM,205887102,459025,14961717,SH,SOLE,14961717,0,0
JANA PARTNERS LLC  (0001159159),2019-11-14,HD SUPPLY HLDGS INC,COM,40416M105,78439,2002273,SH,SOLE,2002273,0,0
JANA PARTNERS LLC  (0001159159),2019-11-14,INSTRUCTURE INC,COM,45781U103,12943,334089,SH,SOLE,334089,0,0
JANA PARTNERS LLC  (0001159159),2019-11-14,JACK IN THE BOX INC,COM,466367109,71947,789586,SH,SOLE,789586,0,0
JANA PARTNERS LLC  (0001159159),2019-11-14,SPDR S&P 500 ETF TR,TR UNIT,78462F103,64903,218698,SH,SOLE,218698,0,0
JANA PARTNERS LLC  (0001159159),2019-11-14,TIFFANY & CO NEW,COM,886547108,6818,73600,SH,SOLE,0,0,0
JANA PARTNERS LLC  (0001159159),2019-11-14,ZIMMER BIOMET HLDGS INC,COM,98956P102,109816,800000,SH,SOLE,800000,0,0
"Trigran Investments, Inc.  (0001336800)",2020-02-13,BERKSHIRE HATHAWAY INC DEL,CL B NEW,084670702,10005,44172,SH,SOLE,44172,0,0
"Trigran Investments, Inc.  (0001336800)",2020-02-13,BERKSHIRE HATHAWAY INC DEL,CL B NEW,084670702,1296,5720,SH,OTR,0,0,5720
"Trigran Investments, Inc.  (0001336800)",2020-02-13,BRIGHTCOVE INC,COM,10921T101,23617,2717701,SH,SOLE,2717701,0,0
"Trigran Investments, Inc.  (0001336800)",2020-02-13,BRIGHTCOVE INC,COM,10921T101,10513,1209787,SH,OTR,0,0,1209787
"Trigran Investments, Inc.  (0001336800)",2020-02-13,CECO ENVIRONMENTAL CORP ,COM,125141101,28596,3733214,SH,SOLE,3733214,0,0
"Trigran Investments, Inc.  (0001336800)",2020-02-13,CECO ENVIRONMENTAL CORP ,COM,125141101,12892,1683070,SH,OTR,0,0,1683070
"Trigran Investments, Inc.  (0001336800)",2020-02-13,DOLBY LABORATORIES INC,COM,25659T107,15749,228914,SH,SOLE,228914,0,0
"Trigran Investments, Inc.  (0001336800)",2020-02-13,DOLBY LABORATORIES INC,COM,25659T107,7012,101921,SH,OTR,0,0,101921
"Trigran Investments, Inc.  (0001336800)",2020-02-13,ENERGY RECOVERY INC,COM,29270J100,34568,3530946,SH,SOLE,3530946,0,0
